scenario,p,n,run_id,seed,T,t_end,canonical_len,A_blocks_canonical,H_blocks_canonical,A_share,A_orphan_published,H_orphan_published,attacks_started,attacks_success_2blocks,attacks_success_race,attacks_abort,attacks_release_only,final_difficulty,num_epochs_completed
scenario1_no_daa_by_blocks,0.55,,0,2725074398213260200,10.0,20418.423534382993,2016,1128,888,0.5595238095238095,28,51,1004,109,46,3,892,1.0,0
scenario1_no_daa_by_blocks,0.55,,1,6256285229654525901,10.0,20370.50031949781,2016,1076,940,0.5337301587301587,42,47,992,83,45,2,907,1.0,0
scenario1_no_daa_by_blocks,0.55,,2,532158953381575896,10.0,20336.939884511412,2016,1118,898,0.5545634920634921,37,54,1005,105,48,3,897,1.0,0
scenario1_no_daa_by_blocks,0.55,,3,6316572677737091824,10.0,20701.204252204967,2016,1153,863,0.5719246031746031,26,34,1024,125,31,1,898,1.0,0
scenario1_no_daa_by_blocks,0.55,,4,8476042806554924587,10.0,20908.034531917678,2016,1106,910,0.5486111111111112,22,50,985,99,48,4,882,1.0,0
scenario1_no_daa_by_blocks,0.55,,5,4567500713756926126,10.0,21075.201906101178,2016,1072,944,0.5317460317460317,36,42,983,89,38,2,892,1.0,0
scenario1_no_daa_by_blocks,0.55,,6,6143977162584003053,10.0,21084.394919386774,2016,1153,863,0.5719246031746031,32,51,1036,104,45,0,932,1.0,0
scenario1_no_daa_by_blocks,0.55,,7,6650597479784269218,10.0,20420.234692887556,2016,1093,923,0.5421626984126984,41,30,1021,87,29,3,931,1.0,0
scenario1_no_daa_by_blocks,0.55,,8,1556883029322255342,10.0,20139.393793843505,2016,1160,856,0.5753968253968254,30,45,1041,113,39,3,925,1.0,0
scenario1_no_daa_by_blocks,0.55,,9,4686932744340124273,10.0,20634.23286377923,2016,1121,895,0.5560515873015873,33,39,1001,120,37,4,877,1.0,0
scenario1_no_daa_by_blocks,0.6,,0,8762946861165258113,10.0,20975.847803880246,2016,1241,775,0.6155753968253969,39,76,1013,219,62,14,780,1.0,0
scenario1_no_daa_by_blocks,0.6,,1,127514667197044261,10.0,21310.229090796503,2016,1207,809,0.5987103174603174,47,75,1012,194,62,14,804,1.0,0
scenario1_no_daa_by_blocks,0.6,,2,6024386055139489928,10.0,22024.87957780841,2016,1242,774,0.6160714285714286,49,78,1040,190,69,8,842,1.0,0
scenario1_no_daa_by_blocks,0.6,,3,2227859143724802479,10.0,21811.807141892587,2016,1242,774,0.6160714285714286,45,64,1034,204,52,3,827,1.0,0
scenario1_no_daa_by_blocks,0.6,,4,4398652410024723355,10.0,21327.099047791984,2017,1224,793,0.6068418443232524,48,75,1006,215,59,8,783,1.0,0
scenario1_no_daa_by_blocks,0.6,,5,6548742636800238595,10.0,21413.62826896024,2016,1261,755,0.6254960317460317,36,80,1023,215,69,10,798,1.0,0
scenario1_no_daa_by_blocks,0.6,,6,1869267582505041494,10.0,22150.753401196132,2016,1244,772,0.6170634920634921,35,61,1039,200,52,12,827,1.0,0
scenario1_no_daa_by_blocks,0.6,,7,5304952316001003004,10.0,22435.764039891266,2016,1245,771,0.6175595238095238,48,79,1022,214,62,5,803,1.0,0
scenario1_no_daa_by_blocks,0.6,,8,858679687859527552,10.0,20887.13426990368,2016,1226,790,0.6081349206349206,46,78,1027,190,69,14,823,1.0,0
scenario1_no_daa_by_blocks,0.6,,9,8791630504252505461,10.0,22282.580601067668,2016,1229,787,0.6096230158730159,41,82,1003,210,66,9,784,1.0,0
scenario1_no_daa_by_blocks,0.65,,0,8673921738508794488,10.0,21253.654073488655,2017,1347,670,0.6678235002478929,45,101,1015,315,71,9,691,1.0,0
scenario1_no_daa_by_blocks,0.65,,1,4522754685763961924,10.0,21843.823310735734,2016,1345,671,0.6671626984126984,34,102,1022,300,74,17,705,1.0,0
scenario1_no_daa_by_blocks,0.65,,2,4578000788013197421,10.0,21888.51410735862,2016,1360,656,0.6746031746031746,42,95,1022,325,72,17,680,1.0,0
scenario1_no_daa_by_blocks,0.65,,3,18748471012479885,10.0,21341.838255194787,2016,1350,666,0.6696428571428571,39,96,1034,298,74,17,719,1.0,0
scenario1_no_daa_by_blocks,0.65,,4,1523780709678776965,10.0,21986.441414466753,2016,1335,681,0.6622023809523809,46,108,1022,285,86,12,725,1.0,0
scenario1_no_daa_by_blocks,0.65,,5,5529063777899432976,10.0,21615.265501382044,2016,1370,646,0.6795634920634921,36,114,1006,329,75,4,673,1.0,0
scenario1_no_daa_by_blocks,0.65,,6,3365620171930825931,10.0,21318.09909556032,2016,1323,693,0.65625,38,91,993,316,70,18,659,1.0,0
scenario1_no_daa_by_blocks,0.65,,7,2238583075233035368,10.0,21451.430145706476,2016,1386,630,0.6875,30,119,1030,305,90,9,716,1.0,0
scenario1_no_daa_by_blocks,0.65,,8,426066810457941146,10.0,22341.516770921768,2016,1362,654,0.6755952380952381,36,103,1024,313,75,14,697,1.0,0
scenario1_no_daa_by_blocks,0.65,,9,2055406377535380954,10.0,21023.40115440897,2016,1383,633,0.6860119047619048,28,103,1033,313,80,15,705,1.0,0
scenario1_no_daa_by_blocks,0.7,,0,6786904639911543654,10.0,21638.395948166202,2016,1524,492,0.7559523809523809,29,130,1043,441,84,15,587,1.0,0
scenario1_no_daa_by_blocks,0.7,,1,8363586485616440961,10.0,21391.719989080448,2016,1459,557,0.7237103174603174,32,112,1020,411,77,17,592,1.0,0
scenario1_no_daa_by_blocks,0.7,,2,3246168101874053914,10.0,21607.45616089913,2017,1466,551,0.7268220128904314,26,108,1035,401,74,18,616,1.0,0
scenario1_no_daa_by_blocks,0.7,,3,5844614246519742683,10.0,21824.454279493282,2016,1484,532,0.7361111111111112,33,108,1043,421,74,21,601,1.0,0
scenario1_no_daa_by_blocks,0.7,,4,1521808208374326404,10.0,21816.904086255607,2016,1426,590,0.7073412698412699,31,112,1009,374,85,11,624,1.0,0
scenario1_no_daa_by_blocks,0.7,,5,2344574912803070827,10.0,21919.866447826065,2016,1457,559,0.722718253968254,29,111,1031,392,81,18,621,1.0,0
scenario1_no_daa_by_blocks,0.7,,6,5761024700753613180,10.0,21978.25989364224,2016,1484,532,0.7361111111111112,42,108,1052,419,70,15,618,1.0,0
scenario1_no_daa_by_blocks,0.7,,7,9175095134790869724,10.0,21718.694659426244,2016,1458,558,0.7232142857142857,29,118,1029,395,83,20,614,1.0,0
scenario1_no_daa_by_blocks,0.7,,8,2983991550473417039,10.0,21474.067881854484,2016,1502,514,0.7450396825396826,35,107,1058,427,70,18,613,1.0,0
scenario1_no_daa_by_blocks,0.7,,9,5059722836881953849,10.0,20853.62875124445,2016,1465,551,0.7266865079365079,31,100,1027,422,66,19,586,1.0,0
scenario1_no_daa_by_blocks,0.75,,0,5576676432274713189,10.0,21541.91310523636,2016,1610,406,0.7986111111111112,18,119,1054,525,66,17,512,1.0,0
scenario1_no_daa_by_blocks,0.75,,1,1890940582492130341,10.0,21285.010980646035,2016,1617,399,0.8020833333333334,26,123,1046,542,69,14,490,1.0,0
scenario1_no_daa_by_blocks,0.75,,2,1762088526067029108,10.0,22180.679597570568,2017,1583,434,0.7848289538919186,20,110,1052,503,67,19,530,1.0,0
scenario1_no_daa_by_blocks,0.75,,3,5279686123972884218,10.0,21772.175995458052,2016,1605,411,0.7961309523809523,19,108,1051,521,69,17,513,1.0,0
scenario1_no_daa_by_blocks,0.75,,4,3059091966325684814,10.0,21600.399624075162,2017,1570,447,0.7783837382250868,24,107,1034,509,67,16,509,1.0,0
scenario1_no_daa_by_blocks,0.75,,5,121245139048518343,10.0,22339.165578907057,2017,1575,442,0.7808626673277145,27,121,1031,503,79,11,517,1.0,0
scenario1_no_daa_by_blocks,0.75,,6,3400510079000633624,10.0,22593.243155062657,2016,1584,432,0.7857142857142857,27,122,1058,500,76,23,535,1.0,0
scenario1_no_daa_by_blocks,0.75,,7,5793608029438909919,10.0,22048.482255323986,2016,1564,452,0.7757936507936508,29,114,1033,496,76,12,525,1.0,0
scenario1_no_daa_by_blocks,0.75,,8,5919552249751719798,10.0,21618.04611960755,2016,1611,405,0.7991071428571429,17,109,1037,533,71,13,491,1.0,0
scenario1_no_daa_by_blocks,0.75,,9,4474912637256692210,10.0,21665.255155031853,2016,1547,469,0.7673611111111112,32,132,1019,501,80,21,497,1.0,0
scenario1_no_daa_by_blocks,0.8,,0,6551828707162387142,10.0,21424.172679253945,2016,1671,345,0.8288690476190477,13,110,1021,623,55,15,383,1.0,0
scenario1_no_daa_by_blocks,0.8,,1,2502687733310628155,10.0,22316.246902482366,2016,1650,366,0.8184523809523809,22,108,1031,590,59,8,433,1.0,0
scenario1_no_daa_by_blocks,0.8,,2,513749698059577403,10.0,21564.910806140793,2016,1673,343,0.8298611111111112,16,109,1039,607,58,14,417,1.0,0
scenario1_no_daa_by_blocks,0.8,,3,4427580080778364558,10.0,20761.64356927736,2016,1714,302,0.8501984126984127,12,111,1047,634,58,13,400,1.0,0
scenario1_no_daa_by_blocks,0.8,,4,6369939461486301125,10.0,21308.778338458756,2016,1674,342,0.8303571428571429,18,115,1039,611,60,18,410,1.0,0
scenario1_no_daa_by_blocks,0.8,,5,7227977912061469579,10.0,21403.59859687971,2016,1680,336,0.8333333333333334,29,102,1060,614,52,17,429,1.0,0
scenario1_no_daa_by_blocks,0.8,,6,8132552790218729744,10.0,21552.67181286406,2016,1686,330,0.8363095238095238,21,123,1031,619,69,12,400,1.0,0
scenario1_no_daa_by_blocks,0.8,,7,3331162885651307463,10.0,21653.936520094103,2016,1702,314,0.8442460317460317,16,112,1040,633,60,15,392,1.0,0
scenario1_no_daa_by_blocks,0.8,,8,138713276799609007,10.0,21383.83072184912,2016,1738,278,0.8621031746031746,5,120,1041,651,63,12,378,1.0,0
scenario1_no_daa_by_blocks,0.8,,9,6507033988496916415,10.0,21582.617950236054,2017,1718,299,0.8517600396628656,17,109,1069,614,64,12,443,1.0,0
scenario1_no_daa_by_blocks,0.85,,0,5904958291308655837,10.0,21619.99787694418,2016,1800,216,0.8928571428571429,11,112,1043,724,50,6,313,1.0,0
scenario1_no_daa_by_blocks,0.85,,1,1044483656759589267,10.0,21010.298653669743,2016,1794,222,0.8898809523809523,5,95,1030,739,38,8,283,1.0,0
scenario1_no_daa_by_blocks,0.85,,2,748440577084693268,10.0,21235.64589659949,2017,1799,218,0.8919186911254338,4,116,1048,708,58,11,329,1.0,0
scenario1_no_daa_by_blocks,0.85,,3,4647014603450469083,10.0,21742.39437625272,2016,1806,210,0.8958333333333334,5,87,1043,728,48,8,307,1.0,0
scenario1_no_daa_by_blocks,0.85,,4,1526411015771040483,10.0,20759.503027520543,2016,1788,228,0.8869047619047619,6,104,1039,718,43,6,315,1.0,0
scenario1_no_daa_by_blocks,0.85,,5,4012175383878345788,10.0,21829.159784912375,2016,1792,224,0.8888888888888888,10,99,1044,717,46,5,322,1.0,0
scenario1_no_daa_by_blocks,0.85,,6,645657023882946990,10.0,20802.345770489414,2016,1782,234,0.8839285714285714,9,88,1033,721,44,7,305,1.0,0
scenario1_no_daa_by_blocks,0.85,,7,6420391017437716386,10.0,21749.331757666347,2016,1785,231,0.8854166666666666,8,103,1046,712,47,12,322,1.0,0
scenario1_no_daa_by_blocks,0.85,,8,1300009129662354162,10.0,21520.10955128722,2017,1804,213,0.8943976202280615,4,112,1040,734,43,9,297,1.0,0
scenario1_no_daa_by_blocks,0.85,,9,4308885548604489531,10.0,21259.271690922345,2017,1785,232,0.8849776896380763,7,101,1042,712,52,14,316,1.0,0
scenario1_no_daa_by_blocks,0.9,,0,1831185607234009569,10.0,21988.221657897873,2017,1880,137,0.932077342588002,4,80,1050,809,31,6,235,1.0,0
scenario1_no_daa_by_blocks,0.9,,1,5470211556968055093,10.0,20958.197312766035,2017,1893,124,0.9385225582548339,2,66,1034,839,25,3,192,1.0,0
scenario1_no_daa_by_blocks,0.9,,2,1756087707366863343,10.0,20659.76274866341,2016,1896,120,0.9404761904761905,3,86,1038,831,35,5,202,1.0,0
scenario1_no_daa_by_blocks,0.9,,3,7698524897177037886,10.0,21262.333867949594,2016,1887,129,0.9360119047619048,2,74,1048,816,31,6,226,1.0,0
scenario1_no_daa_by_blocks,0.9,,4,7191387654045696377,10.0,20994.17612248784,2017,1886,131,0.9350520575111552,0,94,1031,821,37,3,207,1.0,0
scenario1_no_daa_by_blocks,0.9,,5,7083933741713019168,10.0,20098.226526299135,2016,1900,116,0.9424603174603174,4,77,1040,845,27,8,187,1.0,0
scenario1_no_daa_by_blocks,0.9,,6,6232096927976645673,10.0,22036.34718412889,2017,1895,122,0.939514129895885,3,85,1058,805,40,5,248,1.0,0
scenario1_no_daa_by_blocks,0.9,,7,8747885908804938958,10.0,21375.98346751154,2016,1888,128,0.9365079365079365,2,103,1034,813,46,3,218,1.0,0
scenario1_no_daa_by_blocks,0.9,,8,8211582493333304913,10.0,21678.90612612661,2017,1890,127,0.9370352007932573,5,81,1045,814,39,3,228,1.0,0
scenario1_no_daa_by_blocks,0.9,,9,3439882248700059460,10.0,20316.197090631664,2017,1888,129,0.9360436291522063,2,77,1033,834,28,5,194,1.0,0
scenario1_no_daa_by_blocks,0.95,,0,8400411450483380703,10.0,20739.880473132194,2016,1964,52,0.9742063492063492,0,37,1034,926,8,4,104,1.0,0
scenario1_no_daa_by_blocks,0.95,,1,5608724043361278186,10.0,20165.22636557884,2017,1960,57,0.9717402082300446,0,45,1025,927,9,1,97,1.0,0
scenario1_no_daa_by_blocks,0.95,,2,4225277905927867146,10.0,21008.497333048923,2016,1959,57,0.9717261904761905,0,51,1034,917,10,2,115,1.0,0
scenario1_no_daa_by_blocks,0.95,,3,1971589833870008031,10.0,20451.654558841296,2016,1954,62,0.9692460317460317,1,42,1017,928,11,1,88,1.0,0
scenario1_no_daa_by_blocks,0.95,,4,6406187819548197113,10.0,20373.804700409168,2017,1969,48,0.9762022806147744,0,42,1034,927,9,1,106,1.0,0
scenario1_no_daa_by_blocks,0.95,,5,146281591315302935,10.0,21368.60336023226,2016,1948,68,0.9662698412698413,0,43,1020,921,7,0,99,1.0,0
scenario1_no_daa_by_blocks,0.95,,6,775333908780996719,10.0,21106.994206471252,2016,1944,72,0.9642857142857143,2,43,1021,916,11,2,103,1.0,0
scenario1_no_daa_by_blocks,0.95,,7,8649885526979743734,10.0,20914.7428958251,2016,1964,52,0.9742063492063492,1,51,1030,928,8,1,101,1.0,0
scenario1_no_daa_by_blocks,0.95,,8,2863728207227849704,10.0,20836.314756436033,2016,1951,65,0.9677579365079365,1,49,1023,916,14,1,106,1.0,0
scenario1_no_daa_by_blocks,0.95,,9,6093577965963809408,10.0,21354.55781806688,2017,1968,49,0.9757064947942489,2,48,1034,922,14,0,112,1.0,0
