scenario,p,n,run_id,seed,T,t_end,canonical_len,A_blocks_canonical,H_blocks_canonical,A_share,A_orphan_published,H_orphan_published,attacks_started,attacks_success_2blocks,attacks_success_race,attacks_abort,attacks_release_only,final_difficulty,num_epochs_completed
scenario2_no_daa_by_time,0.55,,0,2233284213750991911,10.0,20160.0,1960,1075,885,0.548469387755102,30,40,990,84,35,4,902,1.0,0
scenario2_no_daa_by_time,0.55,,1,5108517399823822420,10.0,20160.0,1935,1018,917,0.5260981912144703,37,38,933,91,34,3,839,1.0,0
scenario2_no_daa_by_time,0.55,,2,8384386484556227686,10.0,20160.0,1902,1056,846,0.555205047318612,36,43,962,97,40,7,858,1.0,0
scenario2_no_daa_by_time,0.55,,3,699951952045083038,10.0,20160.0,1939,1045,894,0.5389375966993295,37,40,942,108,35,3,831,1.0,0
scenario2_no_daa_by_time,0.55,,4,8640508186250625822,10.0,20160.0,1957,1050,907,0.5365355135411344,29,41,942,100,39,2,840,1.0,0
scenario2_no_daa_by_time,0.55,,5,7032457325660896675,10.0,20160.0,1949,1098,851,0.5633658286300667,37,40,1015,91,38,9,915,1.0,0
scenario2_no_daa_by_time,0.55,,6,7757378704163186548,10.0,20160.0,1927,1095,832,0.5682407887908666,24,47,980,100,41,2,878,1.0,0
scenario2_no_daa_by_time,0.55,,7,3242547013313415420,10.0,20160.0,1967,1077,890,0.5475343162175902,37,41,987,89,40,2,896,1.0,0
scenario2_no_daa_by_time,0.55,,8,5632735181042970310,10.0,20160.0,2008,1088,920,0.5418326693227091,29,43,983,104,40,10,869,1.0,0
scenario2_no_daa_by_time,0.55,,9,3434507211223334503,10.0,20160.0,1934,1076,858,0.5563598759048604,23,56,952,103,47,3,846,1.0,0
scenario2_no_daa_by_time,0.6,,0,1672903907025585553,10.0,20160.0,1815,1104,711,0.6082644628099173,35,53,920,187,40,7,725,1.0,0
scenario2_no_daa_by_time,0.6,,1,1254524480620960667,10.0,20160.0,1830,1097,733,0.5994535519125683,47,62,931,169,50,6,756,1.0,0
scenario2_no_daa_by_time,0.6,,2,4335366832607279213,10.0,20160.0,1922,1183,739,0.6155046826222684,40,76,959,205,65,6,748,1.0,0
scenario2_no_daa_by_time,0.6,,3,4859123869619159512,10.0,20160.0,1890,1209,681,0.6396825396825396,45,74,982,216,63,7,759,1.0,0
scenario2_no_daa_by_time,0.6,,4,1495051024331460523,10.0,20160.0,1889,1173,716,0.6209634727368978,40,68,976,187,57,7,782,1.0,0
scenario2_no_daa_by_time,0.6,,5,1860507304798135012,10.0,20160.0,1919,1202,717,0.6263678999478896,45,84,1012,177,67,9,826,1.0,0
scenario2_no_daa_by_time,0.6,,6,7555225553032659963,10.0,20160.0,1910,1192,718,0.6240837696335079,35,66,979,203,54,9,767,1.0,0
scenario2_no_daa_by_time,0.6,,7,3643166162107991542,10.0,20160.0,1873,1147,726,0.612386545648692,40,65,941,199,52,5,737,1.0,0
scenario2_no_daa_by_time,0.6,,8,2800367193136282831,10.0,20160.0,1912,1184,728,0.6192468619246861,51,85,985,189,67,6,790,1.0,0
scenario2_no_daa_by_time,0.6,,9,1573867003999754643,10.0,20160.0,1852,1132,720,0.6112311015118791,39,76,927,193,57,6,728,1.0,0
scenario2_no_daa_by_time,0.65,,0,6660602718518011983,10.0,20160.0,1821,1242,579,0.6820428336079077,34,85,937,283,63,7,647,1.0,0
