scenario,p,n,run_id,seed,T,t_end,canonical_len,A_blocks_canonical,H_blocks_canonical,A_share,A_orphan_published,H_orphan_published,attacks_started,attacks_success_2blocks,attacks_success_race,attacks_abort,attacks_release_only,final_difficulty,num_epochs_completed
scenario3_daa_by_time,0.65,2,0,8386906463268239412,10.0,40320.0,3855,2687,1168,0.6970168612191958,76,202,2016,605,157,15,1396,0.9217177576226381,1
scenario3_daa_by_time,0.65,2,1,5691260397679287706,10.0,40320.0,3900,2597,1303,0.6658974358974359,93,197,1987,591,147,35,1361,0.9265872242109321,1
scenario3_daa_by_time,0.65,2,2,161666997404585201,10.0,40320.0,3867,2582,1285,0.6677010602534265,68,172,1977,564,132,23,1390,0.9342332081706304,1
scenario3_daa_by_time,0.65,2,3,4812349180959542276,10.0,40320.0,3855,2606,1249,0.6760051880674449,76,182,1985,574,140,17,1394,0.9054740772316003,1
scenario3_daa_by_time,0.65,2,4,7667637550714393709,10.0,40320.0,3891,2661,1230,0.6838858905165767,74,200,1993,619,150,27,1347,0.9606092963203829,1
scenario3_daa_by_time,0.65,2,5,8114889077497825101,10.0,40320.0,3902,2622,1280,0.671963095848283,85,185,2012,597,127,29,1386,0.9491839781536072,1
scenario3_daa_by_time,0.65,2,6,5768009882078112198,10.0,40320.0,3896,2673,1223,0.686088295687885,65,204,2010,600,153,25,1385,0.943021590675078,1
scenario3_daa_by_time,0.65,2,7,7940844469928023046,10.0,40320.0,3908,2682,1226,0.6862845445240532,66,196,1994,638,135,18,1337,0.9201372690528962,1
scenario3_daa_by_time,0.65,2,8,3035278414463925961,10.0,40320.0,3874,2622,1252,0.6768198244708312,74,202,1971,603,146,24,1344,0.9463465417322913,1
scenario3_daa_by_time,0.65,2,9,8184814537655921202,10.0,40320.0,3876,2640,1236,0.6811145510835913,63,203,1994,572,161,23,1398,0.9434306063740171,1
scenario3_daa_by_time,0.65,3,0,2599092115644263193,10.0,60480.0,5972,4006,1966,0.6707970529135968,116,282,3042,895,215,30,2117,0.9204412753196392,2
