p,n,metric,metric_mean,metric_std,runs
0.65,2,A_blocks_canonical_over_pn2016,1.0062576312576312,0.014186752183909943,10
0.65,3,A_blocks_canonical_over_pn2016,1.0090303215303214,0.007245652378403322,10
0.65,5,A_blocks_canonical_over_pn2016,1.0174908424908424,0.009065528655229525,10
0.65,10,A_blocks_canonical_over_pn2016,1.0245726495726495,0.004631585949019536,10
0.7,2,A_blocks_canonical_over_pn2016,1.0004960317460319,0.014022736514698445,10
0.7,3,A_blocks_canonical_over_pn2016,1.020266439909297,0.01834148219778059,10
0.7,5,A_blocks_canonical_over_pn2016,1.0282171201814059,0.008115427464540942,10
0.7,10,A_blocks_canonical_over_pn2016,1.0386621315192743,0.005511765279882728,10
0.75,2,A_blocks_canonical_over_pn2016,1.0074404761904763,0.012920122087027964,10
0.75,3,A_blocks_canonical_over_pn2016,1.0335758377425044,0.010398775496140326,10
0.75,5,A_blocks_canonical_over_pn2016,1.036494708994709,0.008627442068292974,10
0.75,10,A_blocks_canonical_over_pn2016,1.0434126984126983,0.0042206385650027526,10
0.8,2,A_blocks_canonical_over_pn2016,1.0138268849206349,0.014913784007268102,10
0.8,3,A_blocks_canonical_over_pn2016,1.0274884259259258,0.013395167562414798,10
0.8,5,A_blocks_canonical_over_pn2016,1.0388392857142856,0.006019688076808971,10
0.8,10,A_blocks_canonical_over_pn2016,1.044314236111111,0.00558388107061577,10
