scenario,p,n,run_id,seed,epoch_index,t_start,t_end,t_total,difficulty_old,difficulty_new,a_blocks_canonical,h_blocks_canonical
scenario3_daa_by_time,0.65,2,0,8386906463268239412,1,0.0,270.6820115589816,270.6820115589816,1.0,1.1083115507830117,24,6
scenario3_daa_by_time,0.65,3,0,2599092115644263193,1,0.0,253.12331483639994,253.12331483639994,1.0,1.1851930755327602,17,13
scenario3_daa_by_time,0.65,3,0,2599092115644263193,2,253.12331483639994,747.7398268496755,494.6165120132756,1.1851930755327602,0.7188557478855151,20,10
scenario3_daa_by_time,0.65,5,0,9102983258716715944,1,0.0,370.0819145577863,370.0819145577863,1.0,0.810631344572653,18,12
scenario3_daa_by_time,0.65,5,0,9102983258716715944,2,370.0819145577863,630.1239981175082,260.0420835597219,0.810631344572653,0.9351924890108967,26,4
scenario3_daa_by_time,0.65,5,0,9102983258716715944,3,630.1239981175082,942.1994742075482,312.07547609003996,0.9351924890108967,0.8990060680779752,16,14
scenario3_daa_by_time,0.65,5,0,9102983258716715944,4,942.1994742075482,1138.076595479779,195.87712127223074,0.8990060680779752,1.376892914658267,19,11
scenario3_daa_by_time,0.65,10,0,7662300354309735807,1,0.0,293.18954376924785,293.18954376924785,1.0,1.0232288510128869,17,13
scenario3_daa_by_time,0.65,10,0,7662300354309735807,2,293.18954376924785,635.181616944597,341.9920731753491,1.0232288510128869,0.897589971760762,19,11
scenario3_daa_by_time,0.65,10,0,7662300354309735807,3,635.181616944597,862.9014437949158,227.7198268503189,0.897589971760762,1.1824925183402033,16,14
scenario3_daa_by_time,0.65,10,0,7662300354309735807,4,862.9014437949158,1230.0400235575512,367.13857976263535,1.1824925183402033,0.9662502800207341,16,14
scenario3_daa_by_time,0.65,10,0,7662300354309735807,5,1230.0400235575512,1585.3188940395048,355.2788704819536,0.9662502800207341,0.8159085948820715,18,12
scenario3_daa_by_time,0.65,10,0,7662300354309735807,6,1585.3188940395048,1948.8953686114228,363.57647457191797,0.8159085948820715,0.6732354692443218,19,11
scenario3_daa_by_time,0.65,10,0,7662300354309735807,7,1948.8953686114228,2220.9391036860357,272.04373507461287,0.6732354692443218,0.7424197462878624,21,9
scenario3_daa_by_time,0.65,10,0,7662300354309735807,8,2220.9391036860357,2463.359558471974,242.42045478593855,0.7424197462878624,0.9187587907259294,21,9
scenario3_daa_by_time,0.65,10,0,7662300354309735807,9,2463.359558471974,2761.885977138593,298.5264186666186,0.9187587907259294,0.9232939531746697,19,11
scenario3_daa_by_time,0.7,2,0,2038351706323057782,1,0.0,439.6543687550322,439.6543687550322,1.0,0.6823541884719786,19,11
scenario3_daa_by_time,0.7,3,0,7859719965141630613,1,0.0,396.6616281019305,396.6616281019305,1.0,0.756312127884749,20,10
scenario3_daa_by_time,0.7,3,0,7859719965141630613,2,396.6616281019305,577.2096510777218,180.5480229757913,0.756312127884749,1.256694117308876,22,8
scenario3_daa_by_time,0.7,5,0,7564382135524544582,1,0.0,342.8601430563582,342.8601430563582,1.0,0.8749923433085863,27,3
scenario3_daa_by_time,0.7,5,0,7564382135524544582,2,342.8601430563582,528.4295978064467,185.56945475008854,0.8749923433085863,1.4145523213725488,20,10
scenario3_daa_by_time,0.7,5,0,7564382135524544582,3,528.4295978064467,975.2263409813016,446.7967431748549,1.4145523213725488,0.9497958588424361,21,9
scenario3_daa_by_time,0.7,5,0,7564382135524544582,4,975.2263409813016,1328.9495335019508,353.72319252064915,0.9497958588424361,0.8055416316420843,26,4
scenario3_daa_by_time,0.7,10,0,1914323182534823320,1,0.0,333.4671864929064,333.4671864929064,1.0,0.8996387415359132,18,12
scenario3_daa_by_time,0.7,10,0,1914323182534823320,2,333.4671864929064,674.1089704729616,340.64178398005515,0.8996387415359132,0.7923033378564512,24,6
scenario3_daa_by_time,0.7,10,0,1914323182534823320,3,674.1089704729616,848.3302614411414,174.2212909681798,0.7923033378564512,1.3643051319160977,26,4
scenario3_daa_by_time,0.7,10,0,1914323182534823320,4,848.3302614411414,1201.971733709907,353.6414722687657,1.3643051319160977,1.1573629556201197,22,8
scenario3_daa_by_time,0.7,10,0,1914323182534823320,5,1201.971733709907,1535.5516990153471,333.57996530544006,1.1573629556201197,1.0408565345587126,21,9
scenario3_daa_by_time,0.7,10,0,1914323182534823320,6,1535.5516990153471,1913.774100439328,378.22240142398095,1.0408565345587126,0.8255908671511473,26,4
scenario3_daa_by_time,0.7,10,0,1914323182534823320,7,1913.774100439328,2100.580989988418,186.80688954908987,0.8255908671511473,1.3258464971135797,19,11
scenario3_daa_by_time,0.7,10,0,1914323182534823320,8,2100.580989988418,2411.9791353369,311.3981453484821,1.3258464971135797,1.277316371582599,22,8
scenario3_daa_by_time,0.7,10,0,1914323182534823320,9,2411.9791353369,2701.5627727429464,289.58363740604636,1.277316371582599,1.3232616141825517,23,7
scenario3_daa_by_time,0.75,2,0,1153542124051750883,1,0.0,247.9769891178095,247.9769891178095,1.0,1.209789670675755,27,3
scenario3_daa_by_time,0.75,3,0,5872183347274545925,1,0.0,310.00957705326,310.00957705326,1.0,0.9677120392589023,24,6
scenario3_daa_by_time,0.75,3,0,5872183347274545925,2,310.00957705326,625.409330888215,315.399753834955,0.9677120392589023,0.9204623917670792,20,10
scenario3_daa_by_time,0.75,5,0,8307570198170452297,1,0.0,245.81328706099075,245.81328706099075,1.0,1.2204385026817715,24,6
scenario3_daa_by_time,0.75,5,0,8307570198170452297,2,245.81328706099075,610.2670871541062,364.45380009311543,1.2204385026817715,1.00460346609361,26,4
scenario3_daa_by_time,0.75,5,0,8307570198170452297,3,610.2670871541062,850.3727907807503,240.10570362664407,1.00460346609361,1.2552015019881408,22,8
scenario3_daa_by_time,0.75,5,0,8307570198170452297,4,850.3727907807503,1271.1300040824062,420.75721330165595,1.2552015019881408,0.8949589898687549,21,9
scenario3_daa_by_time,0.75,10,0,7506866391016372288,1,0.0,260.51248452989006,260.51248452989006,1.0,1.1515762883355378,24,6
scenario3_daa_by_time,0.75,10,0,7506866391016372288,2,260.51248452989006,622.7569361752235,362.2444516453334,1.1515762883355378,0.9537009743876138,26,4
scenario3_daa_by_time,0.75,10,0,7506866391016372288,3,622.7569361752235,910.8072062132071,288.05027003798364,0.9537009743876138,0.9932651418051311,20,10
scenario3_daa_by_time,0.75,10,0,7506866391016372288,4,910.8072062132071,1208.2932936397497,297.48608742654255,0.9932651418051311,1.0016587502268275,22,8
scenario3_daa_by_time,0.75,10,0,7506866391016372288,5,1208.2932936397497,1460.212321178029,251.91902753827935,1.0016587502268275,1.1928341737600083,27,3
scenario3_daa_by_time,0.75,10,0,7506866391016372288,6,1460.212321178029,1792.0619195284291,331.84959835040013,1.1928341737600083,1.0783507164295203,26,4
scenario3_daa_by_time,0.75,10,0,7506866391016372288,7,1792.0619195284291,2099.3524585779433,307.2905390495141,1.0783507164295203,1.052766596490396,21,9
scenario3_daa_by_time,0.75,10,0,7506866391016372288,8,2099.3524585779433,2303.281635399657,203.92917682171355,1.052766596490396,1.5487238455497483,26,4
scenario3_daa_by_time,0.75,10,0,7506866391016372288,9,2303.281635399657,2936.819070295753,633.5374348960963,1.5487238455497483,0.7333696922599756,18,12
scenario3_daa_by_time,0.8,2,0,2404404309845491296,1,0.0,302.2894393214909,302.2894393214909,1.0,0.992426333759361,26,4
scenario3_daa_by_time,0.8,3,0,6314292925064303279,1,0.0,313.78676193360815,313.78676193360815,1.0,0.9560632773395163,25,5
scenario3_daa_by_time,0.8,3,0,6314292925064303279,2,313.78676193360815,647.5770337655965,333.7902718319884,0.9560632773395163,0.8592790365868535,28,2
