scenario,p,n,run_id,seed,T,t_end,canonical_len,A_blocks_canonical,H_blocks_canonical,A_share,A_orphan_published,H_orphan_published,attacks_started,attacks_success_2blocks,attacks_success_race,attacks_abort,attacks_release_only,final_difficulty,num_epochs_completed
scenario3_daa_by_time,0.65,2,0,8386906463268239412,10.0,600.0,53,38,15,0.7169811320754716,0,4,26,10,2,0,16,1.1083115507830117,1
scenario3_daa_by_time,0.65,3,0,2599092115644263193,10.0,900.0,69,42,27,0.6086956521739131,1,4,29,10,4,0,19,0.7188557478855151,2
scenario3_daa_by_time,0.65,5,0,9102983258716715944,10.0,1500.0,148,101,47,0.6824324324324325,2,4,76,26,2,1,49,1.376892914658267,4
scenario3_daa_by_time,0.65,10,0,7662300354309735807,10.0,3000.0,297,181,116,0.6094276094276094,8,15,147,33,9,0,114,0.9232939531746697,9
scenario3_daa_by_time,0.7,2,0,2038351706323057782,10.0,600.0,48,35,13,0.7291666666666666,1,4,23,11,2,0,12,0.6823541884719786,1
scenario3_daa_by_time,0.7,3,0,7859719965141630613,10.0,900.0,88,59,29,0.6704545454545454,4,2,49,15,1,1,32,1.256694117308876,2
scenario3_daa_by_time,0.7,5,0,7564382135524544582,10.0,1500.0,138,108,30,0.782608695652174,5,10,79,28,6,0,51,0.8055416316420843,4
scenario3_daa_by_time,0.7,10,0,1914323182534823320,10.0,3000.0,290,213,77,0.7344827586206897,3,15,143,68,8,3,72,1.3232616141825517,9
scenario3_daa_by_time,0.75,2,0,1153542124051750883,10.0,600.0,52,49,3,0.9423076923076923,0,4,28,19,2,0,9,1.209789670675755,1
scenario3_daa_by_time,0.75,3,0,5872183347274545925,10.0,900.0,80,59,21,0.7375,0,3,40,18,3,1,20,0.9204623917670792,2
scenario3_daa_by_time,0.75,5,0,8307570198170452297,10.0,1500.0,142,110,32,0.7746478873239436,3,11,73,37,5,1,34,0.8949589898687549,4
scenario3_daa_by_time,0.75,10,0,7506866391016372288,10.0,3000.0,285,222,63,0.7789473684210526,2,20,137,77,11,1,59,0.7333696922599756,9
scenario3_daa_by_time,0.8,2,0,2404404309845491296,10.0,600.0,52,46,6,0.8846153846153846,0,4,28,15,3,0,13,0.992426333759361,1
scenario3_daa_by_time,0.8,3,0,6314292925064303279,10.0,900.0,90,78,12,0.8666666666666667,0,4,47,29,3,1,17,1.0290543879085607,3
scenario3_daa_by_time,0.8,5,0,6417667684122727568,10.0,1500.0,155,130,25,0.8387096774193549,2,7,84,47,3,1,35,1.3445073634683984,5
scenario3_daa_by_time,0.8,10,0,3503851644959525134,10.0,3000.0,297,241,56,0.8114478114478114,3,15,154,89,5,3,61,0.929673673538385,9
